step,close_fidelity,open_fidelity,raw_fidelity,l1_penalty,l2_penalty,cost_function,gradient_norm
28,0.99998199521046927,0.99998058007336799,0.99998058007336799,0.0027579182862867021,2.1698435351551786e-06,0.99722049194354612,0.014430464160452832
29,0.99998546588315762,0.99998404955519871,0.99998404955519871,0.0027468699986739325,2.134028959902854e-06,0.99723504552756492,0.013660575710131441
30,0.99998657262109258,0.99998515604085547,0.99998515604085547,0.002737518895066272,2.0888328900662116e-06,0.99724554831289913,0.014304353875128956
31,0.99998548779192209,0.99998407172876469,0.99998407172876469,0.0027265954736699128,2.048301156068787e-06,0.99725542795393873,0.013733262786036662
32,0.99998749535243014,0.99998607843731968,0.99998607843731968,0.0027189251868686075,2.0087794298095758e-06,0.99726514447102121,0.013874910372455376
33,0.99998941885484316,0.99998800107709496,0.99998800107709496,0.0027113044417851765,1.9952385949125933e-06,0.99727470139671481,0.013797738581407806
34,0.99999288683586873,0.99999146723026688,0.99999146723026688,0.0027051699352534327,1.9688039779887111e-06,0.99728432849103543,0.013867417681824014
35,0.99999419301587011,0.99999277260902208,0.99999277260902208,0.0026990958524007519,1.9499814779869336e-06,0.99729172677514333,0.013722139522334979
36,0.9999949229200582,0.99999350206379611,0.99999350206379611,0.0026932381631777319,1.9245358396372653e-06,0.99729833936477874,0.013123774479010216
37,0.99999567791159072,0.99999425650710194,0.99999425650710194,0.0026877221540350122,1.9048684245069399e-06,0.99730462948464238,0.012579301667028704
38,0.99999584647828677,0.99999442496227908,0.99999442496227908,0.0026822393402439904,1.8892007961846225e-06,0.99731029642123892,0.013572128640521278
39,0.99999627140844927,0.99999484954327034,0.99999484954327034,0.0026787343019560876,1.8779428576520521e-06,0.99731423729845659,0.013197658510563507
40,0.99999656174220686,0.99999513955410735,0.99999513955410735,0.0026749821549949095,1.8738467228417519e-06,0.99731828355238961,0.012576322055904065
41,0.99999658980177697,0.99999516761373886,0.99999516761373886,0.0026727721843473945,1.8671364682425589e-06,0.99732052829292317,0.012968952159298259
42,0.99999685769555324,0.99999543529819013,0.99999543529819013,0.0026695307485876704,1.8546086247929935e-06,0.99732404994097767,0.011923959207571723
43,0.99999712186524681,0.99999569926884446,0.99999569926884446,0.0026667833540148767,1.8384181701837967e-06,0.99732707749665939,0.013044876783480418
44,0.99999746086840924,0.99999603791975189,0.99999603791975189,0.0026637107240938761,1.8267924605612478e-06,0.99733050040319748,0.013045392144937037
45,0.99999787189540013,0.99999644843261337,0.99999644843261337,0.0026605337634634891,1.8142683189926299e-06,0.99733410040083093,0.013311998128767585
46,0.99999794584809731,0.99999652227561131,0.99999652227561131,0.002656966570527402,1.8084252875007653e-06,0.9973377472797964,0.012132074451349536
47,0.99999790183349613,0.99999647832319716,0.99999647832319716,0.0026536741848813793,1.8047021867045031e-06,0.99734099943612908,0.011753898670239854
48,0.99999796114736816,0.99999653760529161,0.99999653760529161,0.0026514015353593665,1.7970028991122523e-06,0.9973433390670331,0.012294081709030159
49,0.99999803202184978,0.99999660842326743,0.99999660842326743,0.0026482699578164177,1.7910382067982171e-06,0.99734654742724427,0.012047253142889333
50,0.99999822540128858,0.99999680156242177,0.99999680156242177,0.0026460934248179434,1.7822134767795566e-06,0.99734892592412705,0.012694836695680263
