step,close_fidelity,open_fidelity,raw_fidelity,l1_penalty,l2_penalty,cost_function,gradient_norm
0,0.57067624657003424,0.57000777766656574,0.57000777766656574,0.15316720236079778,0.084596591993363709,0.33224398331240423,0.046339478725717941
1,0.57116889896784862,0.57049354330284741,0.57049354330284741,0.13740685538921868,0.063266321677035289,0.36982036623659342,0.043357679907321492
2,0.57421729785783127,0.57351439965087292,0.57351439965087292,0.065096573091405388,0.0086789593075535677,0.49973886725191397,0.026000984664054167
3,0.57722944199128245,0.57649475849015264,0.57649475849015264,0.054596045165940479,0.0072081447160514747,0.51469056860816065,0.028473643324371033
4,0.57833798632488631,0.57759199965168984,0.57759199965168984,0.037296840341935908,0.0021546573520844297,0.53814050195766949,0.023064502360813532
5,0.57952723584601151,0.5787681739960564,0.5787681739960564,0.034485525998598048,0.0017440791363906162,0.54253856886106777,0.024101127369650518
6,0.58082589270531293,0.58005217852442037,0.58005217852442037,0.027664483526541744,0.00088140601496283734,0.55150628898291576,0.023334107117772632
7,0.58246711785102567,0.58167334214187139,0.58167334214187139,0.025759944821635267,0.00090165531340061743,0.55501174200683545,0.023288137734430198
8,0.58314804687629329,0.58234630124893794,0.58234630124893794,0.022325938913589683,0.00060411215026367907,0.55941625018508456,0.024171352947943845
9,0.58338081086792948,0.58257678351732933,0.58257678351732933,0.020858488534856983,0.00045522353082258276,0.56126307145164978,0.02421549032161327
10,0.58412554583985332,0.58331271667785134,0.58331271667785134,0.018550598466529691,0.00037986969620012995,0.56438224851512153,0.023603686687642417
11,0.58486785888446979,0.58404567691666198,0.58404567691666198,0.0175703662697884,0.00036392008739067575,0.5661113905594829,0.022042540428056933
12,0.58537907134092126,0.58455079947523025,0.58455079947523025,0.01641240250633488,0.00031040726706537579,0.56782798970183002,0.020775306914517806
13,0.58634505872294151,0.58550482460180686,0.58550482460180686,0.01675847381869864,0.00031174513732746932,0.56843460564578074,0.022853063733555931
14,0.58671456680248668,0.5858697844313645,0.5858697844313645,0.015486544401804372,0.00026305898150728592,0.57012018104805284,0.021359210888231017
15,0.58733204232347336,0.58647915770174797,0.58647915770174797,0.014765877124706792,0.00024070903828028907,0.57147257153876085,0.021171696118604529
16,0.58793565592866837,0.58707478234782018,0.58707478234782018,0.014690084870404919,0.00023617257641840827,0.57214852490099688,0.022927429076559185
17,0.58820440548134645,0.58734015761402059,0.58734015761402059,0.014039816183635551,0.00021240682936512605,0.57308793460101992,0.022357899193072812
18,0.58842384225536204,0.58755702294742773,0.58755702294742773,0.013258336559098124,0.00017508830454664642,0.57412359808378299,0.021665143766830399
19,0.58910080215153915,0.58822520942656342,0.58822520942656342,0.012615364619465483,0.00016933634703930346,0.57544050846005868,0.020435992321973975
20,0.5898954574299623,0.58900914318543596,0.58900914318543596,0.01257336751037672,0.00017608538159455709,0.57625969029346469,0.02036583193053117
21,0.59077274560680781,0.58987426239172103,0.58987426239172103,0.012536363406164328,0.00017431359700288904,0.57716358538855383,0.022294925775875957
22,0.5918296612744518,0.59091599510148074,0.59091599510148074,0.012460992166540202,0.00016840438108771996,0.57828659855385278,0.023320040711212856
23,0.59335807908009142,0.59242127377292431,0.59242127377292431,0.012805590254011975,0.00017296963811811475,0.57944271388079427,0.024094610734087543
24,0.59442604678507904,0.59347252449977517,0.59347252449977517,0.013027017602487728,0.0001770619418133404,0.58026844495547414,0.023526044453945159
25,0.59501941543038084,0.59405677516882338,0.59405677516882338,0.012781889549477388,0.00016146623894170833,0.58111341938040428,0.0231698261145559
26,0.5958919666280631,0.594915716962643,0.594915716962643,0.012489438341541781,0.00014719618709386838,0.58227908243400739,0.023526509791458698
27,0.59674700753415155,0.59575720144401545,0.59575720144401545,0.012454097998866284,0.00014746257531336591,0.58315564086983585,0.024817197081035556
28,0.59721278717132908,0.59621577673734549,0.59621577673734549,0.012250958398909774,0.00014184214305714972,0.5838229761953786,0.024341171161961425
29,0.59736898668625216,0.59636999462728901,0.59636999462728901,0.011730504252642493,0.00012006842087030141,0.58451942195377626,0.023375939245717632
30,0.59737520771823349,0.59637696032142018,0.59637696032142018,0.011221676950062745,9.6283580571431099e-05,0.58505899979078602,0.023272438764284295
31,0.59792959865897155,0.59692273397228468,0.59692273397228468,0.011081698610757638,9.3609997682894515e-05,0.58574742536384417,0.02279831684295075
32,0.59882480733040944,0.59780340649955888,0.59780340649955888,0.011407651825383044,0.00010261815745713766,0.58629313651671866,0.022881741678803722
33,0.59969517533654315,0.59865936552187515,0.59865936552187515,0.011674072698580102,0.00011875092601113621,0.58686654189728393,0.023963522386803708
34,0.60038080044304865,0.59933356258215364,0.59933356258215364,0.011807554184774534,0.00013167174781098754,0.58739433664956808,0.02345064960641733
35,0.60103815040577868,0.5999797723723278,0.5999797723723278,0.011897647653008898,0.00014165822377434122,0.58794046649554454,0.022365900431904586
36,0.60173035488334348,0.60066021641207734,0.60066021641207734,0.012007952848234428,0.00015231922254502173,0.58849994434129793,0.022932726137677748
37,0.60224681669374003,0.60116821098878159,0.60116821098878159,0.012046106727847908,0.0001572664647581114,0.58896483779617559,0.02344523528637674
38,0.60247075274843909,0.60138908248201184,0.60138908248201184,0.011877876061248144,0.00015220806210919935,0.58935899835865446,0.021994862114973077
39,0.6025920111007701,0.60150953278428698,0.60150953278428698,0.011675995410955054,0.0001398343297824732,0.5896937030435494,0.023384319950496071
40,0.60271225975965514,0.601628690348744,0.601628690348744,0.011460160142104145,0.00013291666649619852,0.59003561354014367,0.023847475337679228
