step,pair_index,weight,a0_real,a0_imag,a1_real,a1_imag,a2_real,a2_imag,closed_term,first_order_sq,second_order_cross,perturbative_open,dropped_order1_cross
0,0,0.0625,0.85243956097800566,0.32126025484578841,0.014653453537466252,-0.038427831268662879,-0.0013087036666747382,-0.00069083744556378641,0.051866334778997242,0.00010571386978671917,-0.00016719117411116946,0.051804857474672797,1.8231079218467881e-05
0,1,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,2,0.0625,1.6189136749087975e-05,-9.7294766417482397e-05,0.00010948724770482656,0.00016687478965050003,-5.1063998257680384e-05,0.00012592256294847393,6.0802248255707079e-10,2.489665801929793e-09,-1.6347860499389091e-09,1.4629022345479548e-09,-1.8079424568296502e-09
0,3,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,4,0.0625,1.421918780693097e-08,-7.3757295484863154e-08,-1.094113236585466e-07,4.2283963801855606e-10,6.073796612550824e-08,2.1795893710218289e-07,3.5264524619563672e-16,7.4818853362967002e-16,-1.9015521475078491e-15,-8.0071836768254243e-16,-1.9836595842872887e-16
0,5,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,6,0.0625,0.85243956097801232,0.32126025484579102,0.00010831703262770352,0.00013786044118782443,6.0177100002290537e-06,-0.0001976562910731071,0.051866334778998047,1.9211300501107868e-09,-7.2961720464164981e-06,0.051859040528081678,1.7077850526094286e-05
0,7,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,8,0.0625,1.6189136749056195e-05,-9.7294766417694873e-05,0.0001596156988354872,0.00016873471462323949,-3.4093398928262684e-05,0.00010831110706536773,6.0802248255959048e-10,3.3717859521079382e-09,-1.3862558199820832e-09,2.5935526146854449e-09,-1.7291205337600775e-09
0,9,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,10,0.0625,1.4219187806952973e-08,-7.3757295486456754e-08,-1.2580155544145261e-07,-5.6953817787102937e-08,2.8327617981216652e-08,1.8508170252425134e-07,3.5264524621036831e-16,1.1918605445009622e-15,-1.6560412627523946e-15,-1.1153547204106425e-16,3.0149545304704328e-16
0,11,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,12,0.0625,0.85243956097800877,0.32126025484578957,0.0073808852850469767,-0.01914498541373753,-0.00065134297833725459,-0.00044424686831844669,0.051866334778997616,2.6312995880202862e-05,-8.7243673078793253e-05,0.051805404101799027,1.7654464872280828e-05
0,13,0.0625,-0.0061931651414398386,0.0056015496708070218,-0.00025120253189407204,-0.0099141015838455811,-0.0037850566584517343,-0.0011126209376728538,4.3582908239789868e-06,6.1470320579274667e-06,2.1511349385429578e-06,1.2656457820449412e-05,-6.7473242124212243e-06
0,14,0.0625,1.618913674907237e-05,-9.7294766417588296e-05,0.00013455147327015685,0.00016780475213686965,-4.2578698592971568e-05,0.00011711683500692081,6.0802248255832717e-10,2.8914083624303747e-09,-1.5105209349605925e-09,1.9889099100281098e-09,-1.7685314952947886e-09
0,15,0.0625,4.7084108608426339e-07,8.1561795580340364e-07,-3.5436190890147277e-06,-1.5751380156246376e-06,-1.3753999724976703e-06,-4.3218172380099356e-06,5.5432748635870737e-14,9.398935010184683e-13,-5.2156831973408059e-13,4.7375792992025851e-13,-3.6914903861907737e-13
0,16,0.0625,1.4219187806942444e-08,-7.3757295485660212e-08,-1.1760643955000092e-07,-2.8265489074541396e-08,4.4532792053362473e-08,2.0152031981321843e-07,3.5264524620300582e-16,9.1438828101568954e-16,-1.7787967051317526e-15,-5.1176317791305731e-16,5.1564747306295428e-17
0,17,0.0625,-1.1611849453131722e-07,4.354846152463776e-08,9.7866855030301163e-08,3.1378788243851293e-07,3.0327931903927381e-07,-7.9962201178824695e-08,9.6124832958639973e-16,6.7525472799229994e-15,-4.8373210988481149e-15,2.8764745106612839e-15,2.8760345682973703e-16
