mode,run_index,seed,source_npz,source_dt,experiment_dt,dt_missing,dt_mismatch,success,nit,nfev,initial_open_gate_fidelity,final_open_gate_fidelity,initial_close_gate_fidelity,final_close_gate_fidelity,initial_cost,final_cost,initial_l1_penalty,final_l1_penalty,initial_l2_penalty,final_l2_penalty,experiment_dir
noise,1,12345,NA,NA,NA,False,False,False,1,2,1.1255084690591473,1.9680102646704694,0.44849758431738623,0.38023859114727887,1.1222996817843265,1.9542275151477697,0.0,0.0,0.0032087872748208604,0.013782749522699693,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_161741/noise_seed_12345
random,2,12346,NA,NA,NA,False,False,False,1,6,1.034373376302107,1.2308547470472235,0.41234570776911117,0.47381651648679823,1.0220059346768844,1.2182929056100287,0.0,0.0,0.01236744162522259,0.012561841437194826,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_161741/random_seed_12346
