step,closed_term,first_order_sq,second_order_cross,perturbative_open,correction,excess_over_1,max_pair_open,min_pair_open
0,0.67192379790766599,0.055327382133150443,-0.066548693793609934,0.66070248624720651,-0.01122131166045949,-0.33929751375279349,0.062430344589384734,-2.1657307919549859e-34
1,0.8080581339860804,0.02065087127836918,-0.01072426688866219,0.81798473837578733,0.0099266043897069892,-0.18201526162421267,0.062394117517559931,0
2,0.88974126134751952,0.0099722985151157427,-0.039020093672061093,0.86069346619057419,-0.02904779515694535,-0.13930653380942581,0.062401859576117102,-7.6792394031560576e-28
3,0.92792358379919615,0.0060670903333499811,-0.0098810569631269714,0.92410961716941908,-0.0038139666297769903,-0.075890382830580916,0.062393023968884402,0
4,0.94317351834751595,0.0051738049503225409,-0.012780522641786026,0.93556680065605247,-0.0076067176914634852,-0.064433199343947534,0.062392380803161764,-3.4973905957603248e-23
5,0.96909773295796509,0.0067646577674849032,-0.018774393272700123,0.95708799745274986,-0.012009735505215221,-0.042912002547250139,0.062389952524932582,0
6,0.96760361863755762,0.0035718726035802451,-0.0088419653927597017,0.96233352584837817,-0.0052700927891794567,-0.037666474151621832,0.06238890534001551,-6.7463665994466064e-24
7,0.97495806282130448,0.0029674709610047318,-0.011347026930041294,0.96657850685226787,-0.0083795559690365614,-0.033421493147732129,0.062387954268366561,-2.3253799158320809e-39
8,0.98157833466891098,0.0031294372675236093,-0.011645881954113847,0.97306188998232068,-0.0085164446865902375,-0.026938110017679318,0.062387310421461693,0
9,0.9867744216018145,0.0020519424330940621,-0.002460272573517816,0.98636609146139076,-0.00040833014042375394,-0.013633908538609241,0.062385663109732044,-1.7519924432686844e-26
10,0.98956056389219227,0.0013810987918330519,-0.0007394074899622809,0.99020225519406302,0.00064169130187077101,-0.0097977448059369809,0.062384983788799857,-2.8800357606088948e-07
11,0.99194984115680762,0.0017600220152480983,-0.00072406348135423875,0.99298579969070144,0.0010359585338938597,-0.0070142003092985572,0.062384212376062481,-2.5915586100513416e-27
12,0.99812463775849092,0.00264785552982263,-0.0056145686564370908,0.99515792463187647,-0.0029667131266144608,-0.0048420753681235329,0.062383260076087833,-1.1474146744852743e-26
13,0.99538625069674491,0.0022713418304797298,-0.002530639020072114,0.99512695350715252,-0.00025929718959238424,-0.004873046492847477,0.06238378866790581,-2.8222816905957665e-24
14,0.99386395027995966,0.0024035592186280748,-0.0017978211826058218,0.99446968831598193,0.00060573803602225309,-0.0055303116840180744,0.062384251252834068,0
15,0.99273643785070775,0.0025640682392266299,-0.0017973814921061388,0.99350312459782819,0.00076668674712049105,-0.0064968754021718089,0.062384617679021155,0
16,0.98874699473438876,0.0036257706694181229,-0.004200394299601385,0.98817237110420553,-0.00057462363018326214,-0.011827628895794473,0.062385387124536236,-2.0868049589517572e-26
17,0.98508262113436817,0.0040718864198457435,-0.0086636000197618159,0.98049090753445212,-0.0045917135999160724,-0.019509092465547884,0.062385385172328632,0
18,0.98578442061205174,0.0037596522532624545,-0.013469842492475452,0.9760742303728388,-0.0097101902392129971,-0.023925769627161197,0.062384999529344821,-5.416461338089041e-27
19,0.97378357968431473,0.0013878670227447632,-0.0072964607577209904,0.96787498594933852,-0.0059085937349762276,-0.032125014050661482,0.062384614200039094,-2.5810608465460539e-08
20,0.97724783285048245,0.0054036909881660265,-0.0040783871935591871,0.97857313664508927,0.0013253037946068394,-0.02142686335491073,0.062383081883337944,0
21,0.99368206925824842,0.0028086416164063337,-0.013311356031781567,0.98317935484287322,-0.010502714415375234,-0.016820645157126779,0.062381902672414301,-8.3058061612565212e-08
22,0.99771029087531238,0.0019679548569310713,-0.0040694041463300067,0.99560884158591334,-0.0021014492893989354,-0.00439115841408666,0.062382560382531656,-9.493198458759524e-09
23,0.99894389543736117,0.0022534012549702445,-0.0054853027788632448,0.99571199391346821,-0.0032319015238930003,-0.0042880060865317926,0.062382111088980896,-1.7850237597785466e-08
