step,close_fidelity,open_fidelity,raw_fidelity,l1_penalty,l2_penalty,cost_function,gradient_norm
0,0.7043289522631736,0.71192016213164644,0.71192016213164644,0.2653134595124102,0.1167800005678041,0.32982670205143216,2.0683009522572933
1,0.83264527983476655,0.82277561957531431,0.82277561957531431,0.26317610769289151,0.11467307792788838,0.44492643395453441,5.5053207597149294
2,0.93184409003232249,0.90604927027273607,0.90604927027273607,0.26232500458412084,0.11401466493792153,0.52970960075069373,1.0154047695919657
3,0.99436691188547699,0.98487471264045801,0.98487471264045801,0.26215974025319039,0.11383727843644022,0.60887769395082736,0.54382249487370315
4,0.99681149330443852,0.98562820788035077,0.98562820788035077,0.26212033114243216,0.11380347859773551,0.60970439814018307,0.41998819093731327
5,0.9965208760625176,0.98763329770278574,0.98763329770278574,0.26181485442095304,0.11355730706847321,0.61226113621335942,0.1552249278796462
6,0.99617955822686932,0.98809367434119577,0.98809367434119577,0.26160595636895834,0.11339023434295796,0.61309748362927952,0.19965587198833262
7,0.99478839562309096,0.98920689215353763,0.98920689215353763,0.26065287502108364,0.11262806578721661,0.61592595134523731,0.37291343793800114
8,0.9929943420566576,0.98925249292587591,0.98925249292587591,0.25935631908137258,0.11160034435447606,0.61829582949002726,0.66163209563141689
9,0.9948266225287743,0.98795748989034948,0.98795748989034948,0.25743543344509723,0.11008213058184523,0.62043992586340702,0.64078050234035855
10,0.99488124169202297,0.98999000535576154,0.98999000535576154,0.25675421523490538,0.10954446055643445,0.62369132956442175,0.41963530908784369
11,0.99734600875850954,0.99106200255115184,0.99106200255115184,0.25380846340605312,0.10724291081946551,0.63001062832563326,0.13657492971650712
12,0.99333882993848033,0.98616584236016969,0.98616584236016969,0.24885093813475045,0.10344073903353161,0.63387416519188755,0.79111643916199126
13,0.99758219092432765,0.98888313548401485,0.98888313548401485,0.24883948076387571,0.10342975802889144,0.63661389669124768,0.16543285714402017
14,0.99771171279331594,0.9890797099108678,0.9890797099108678,0.24882299911645681,0.10341593466697552,0.6368407761274355,0.1546061853732737
15,0.99757249254334801,0.98990068386792285,0.98990068386792285,0.24870149054861251,0.10331466082817704,0.6378845324911333,0.25697291318197563
16,0.99744038979009475,0.99083051490665652,0.99083051490665652,0.24850810365294002,0.10315388191286425,0.63916852934085222,0.33775528179984843
17,0.99827850667474527,0.99277675675790122,0.99277675675790122,0.24795828709071122,0.10269777221797499,0.64212069744921507,0.43238591262955095
18,0.99597980714513201,0.99418326183516692,0.99418326183516692,0.24717660701494162,0.10205371607732613,0.64495293874289916,0.48850974636505679
19,0.99837559058797809,0.99631245766845689,0.99631245766845689,0.24649740841022652,0.10149780014903712,0.64831724910919331,0.33355970741351282
20,0.99984574736344367,0.99716952646251267,0.99716952646251267,0.24563666667421497,0.10079744016717321,0.65073541962112447,0.12421080472186975
21,0.99952526968422228,0.99619513758323397,0.99619513758323397,0.2446023352735964,0.099959985201392446,0.65163281710824505,0.22938444296711186
22,0.99917033237281583,0.99555007989991817,0.99555007989991817,0.24358859519980502,0.099143548620051536,0.65281793608006167,0.10456276614817796
23,0.99947386640694558,0.99580473874869979,0.99580473874869979,0.24346282802688751,0.099047469816714459,0.65329444090509781,0.11928941649812592
24,0.99963198041479784,0.99480219004088954,0.99480219004088954,0.24219169918080594,0.098034292922156291,0.65457619793792732,0.15350730590179421
25,0.99371528076965565,0.98667614466912779,0.98667614466912779,0.23643419343174321,0.09348516462248016,0.65675678661490444,0.6032956616389229
26,0.99241118644474668,0.98546901842097845,0.98546901842097845,0.23322839496480297,0.091006197008684245,0.6612344264474912,0.60810814740567753
27,0.95674497108591816,0.94971873528214834,0.94971873528214834,0.20519383745767419,0.070172837154001313,0.67435206067047282,1.2387355336996348
28,0.95498225644632284,0.94821923141557118,0.94821923141557118,0.20410283756145203,0.069390976366376866,0.67472541748774228,1.2421206026245522
29,0.93362166881162767,0.93072664983834053,0.93072664983834053,0.19017575695972178,0.059613461629010302,0.68093743124960848,1.8097208134819875
30,0.95462439177010916,0.94840529726207212,0.94840529726207212,0.18198806616177093,0.054175660653441482,0.71224157044685965,1.7239102932766694
31,0.96675094581888366,0.96279408940477351,0.96279408940477351,0.17552613060828406,0.049997205668306878,0.73727075312818258,0.87087538658755281
32,0.95789547537034192,0.95406406571300983,0.95406406571300983,0.16848116909043875,0.045694657952549754,0.73988823867002129,1.3472803157859214
33,0.98188603994753432,0.97291374291764077,0.97291374291764077,0.1581995160456714,0.039693245803367687,0.77502098106860173,1.1139244683380474
34,0.98836048636372809,0.97174993678830301,0.97174993678830301,0.14493428212079026,0.032276709382341708,0.79453894528517099,2.1300431304547627
35,0.99419077538807354,0.98540653363470221,0.98540653363470221,0.13980962664706459,0.029494544305223431,0.81610236268241421,0.76651918995470592
36,0.99543877062955688,0.98813526823798314,0.98813526823798314,0.1387947606498813,0.028956956122979868,0.82038355146512199,0.49800598774940574
37,0.98206424221957977,0.97835989576923754,0.97835989576923754,0.12833007280633932,0.023336111340294917,0.8266937116226033,1.3424935665744955
38,0.98919356031967909,0.97679150440427376,0.97679150440427376,0.12428253467255362,0.021363295389714907,0.83114567434200526,0.84959358639895333
39,0.98599092927758869,0.97866244767910904,0.97866244767910904,0.12087540692317088,0.019600812682839953,0.83818622807309817,0.88970343631993709
40,0.97819953691181505,0.97407242282900142,0.97407242282900142,0.11659587568242726,0.017621531577645073,0.83985501556892905,0.96729417129275175
