step,close_fidelity,open_fidelity,cost_function
0,0.41688618373186032,0.4261790518259877,0.34617601025871525
1,0.62295644062434885,0.68169649152500411,0.59336498187275832
2,0.92660348171789064,0.927771536840441,0.84163866211328231
3,0.93617268101490236,0.93618834546637819,0.84533091588578246
4,0.94189890744128557,0.94012836367140062,0.85021403292197251
5,0.96130363656108231,0.95571336413953101,0.86429778575128569
6,0.96130363656108297,0.95571336413953123,0.86429778575128591
