mode,run_index,seed,source_npz,source_dt,experiment_dt,dt_missing,dt_mismatch,success,nit,nfev,initial_open_gate_fidelity,final_open_gate_fidelity,initial_close_gate_fidelity,final_close_gate_fidelity,initial_cost,final_cost,initial_l1_penalty,final_l1_penalty,initial_l2_penalty,final_l2_penalty,experiment_dir
noise,1,12345,NA,NA,NA,False,False,False,150,331,0.7635474168632879,15.723368315125724,0.5017299065289611,0.10851015006946943,0.6699570664043174,15.636844074999669,0.0,0.0,0.09359035045897043,0.08652424012605442,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_172605/noise_seed_12345
noise,2,12346,NA,NA,NA,False,False,False,150,324,0.43194318427323075,23.540495521941192,0.6385656516170993,0.1674498361389664,0.32473923678462957,23.433400341982214,0.0,0.0,0.10720394748860117,0.10709517995897813,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_172605/noise_seed_12346
