step,pair_index,weight,a0_real,a0_imag,a1_real,a1_imag,a2_real,a2_imag,closed_term,first_order_sq,second_order_cross,perturbative_open,dropped_order1_cross
0,0,0.0625,0.81306407085284405,0.54790751278643623,0.016318115814263675,-0.020461340798629497,-0.00037077032076895917,-0.0005568047319283525,0.060079739117476091,4.2809210687836389e-05,-7.5817190266800846e-05,0.060046731137897123,0.00025709391591758441
0,1,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,2,0.0625,0.0014392319816324947,-0.0016755701925411876,7.0267629753728491e-05,-0.00058427039884535856,-0.00018120246651994476,-0.00030668063863045281,3.0493276044289434e-07,2.1644339922382584e-08,3.1634068969060788e-08,3.5821116933433776e-07,1.3501468558806386e-07
0,3,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,4,0.0625,-0.00093867871264125989,-0.00014142244669542478,-0.00042613348030425842,0.0013679854523310081,0.00058513346927349251,0.00036345454883582909,5.6319877124698312e-08,1.2831087130159331e-07,-7.5081620402487605e-08,1.0954912802380401e-07,2.5817322124117805e-08
0,5,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,6,0.0625,0.81306407085285493,0.54790751278644034,-0.0030017712448409425,0.0082133166391302331,0.00033918576135561515,-0.00022808157367634304,0.060079739117477479,4.7793250513104677e-06,1.8851518519712379e-05,0.060103369961048501,0.0002574381929217391
0,7,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,8,0.0625,0.0014392319816327217,-0.0016755701925411316,-0.00013604956829128687,-0.00091311686295189706,-0.00032599988914567386,-0.00021617896790213746,3.0493276044292356e-07,5.3268243152459947e-08,-1.337080394950603e-08,3.4483019964587748e-07,1.6677306351208989e-07
0,9,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,10,0.0625,-0.00093867871264124807,-0.00014142244669545503,-0.00043543788673395254,0.0014304081859335296,0.00067509015473099542,0.00040358926357976217,5.6319877124697465e-08,1.3972960822431137e-07,-8.6346167309392331e-08,1.097033180396165e-07,2.5805556190840629e-08
0,11,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,12,0.0625,0.81306407085284915,0.54790751278643823,0.0066581722847113608,-0.0061240120797496269,-1.5792279706672046e-05,-0.00039244315280234762,0.060079739117476744,5.1146738828636164e-06,-2.8482835873544506e-05,0.060056370955486063,0.00025726605441966417
0,13,0.0625,0.024698881135471189,-0.021404147815360094,-0.0061843927003887031,0.0013998782678170864,0.0010770480557737566,0.0022099512823263649,6.6760767065369926e-05,2.5128982648329779e-06,-2.5875302506139681e-06,6.6686135079588931e-05,-2.2838847696230428e-05
0,14,0.0625,0.0014392319816326153,-0.001675570192541155,-3.2890969268776181e-05,-0.00074869363089863274,-0.00025360117783281022,-0.00026142980326629526,3.0493276044290926e-07,3.5101498050476107e-08,9.131632509777742e-09,3.4916589100316311e-07,1.5089387455008002e-07
0,15,0.0625,-0.0015233789493609381,-0.00014466789418948918,-0.00017602773878879516,0.0018298966671552027,0.00072198198337361291,0.00015748593223080998,1.4635076393532853e-07,2.112192235805509e-07,-1.4032941418369008e-07,2.1724057333218935e-07,4.2870679409358371e-10
0,16,0.0625,-0.00093867871264125588,-0.00014142244669544088,-0.00043078568351910616,0.0013991968191322715,0.00063011181200224478,0.00038352190620779566,5.6319877124698134e-08,1.3395800273718066e-07,-8.0713893855940253e-08,1.0956398600593855e-07,2.5811439157479244e-08
0,17,0.0625,-0.00033387433337522799,6.7188798011936623e-05,1.2768123209362279e-05,0.00061637841186675891,0.0003419712769030176,9.4934122279963766e-05,7.2491503165651057e-09,2.3755335724104837e-08,-1.347461531789519e-08,1.7529870722774753e-08,4.6438469986069171e-09
