mode,run_index,seed,source_npz,source_dt,experiment_dt,dt_missing,dt_mismatch,interrupted,success,nit,nfev,initial_open_gate_fidelity,final_open_gate_fidelity,initial_close_gate_fidelity,final_close_gate_fidelity,initial_cost,final_cost,initial_l1_penalty,final_l1_penalty,initial_l2_penalty,final_l2_penalty,experiment_dir
noise,1,12345,NA,NA,NA,False,False,False,True,21,85,0.4034486040609044,0.9902481781172564,0.4035041734984047,0.9964553871842117,0.2741411686503788,0.8675863428407774,0.10711328939921672,0.10240011024261815,0.022194146011308855,0.020261725033860863,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260701_102221/noise_seed_12345
noise,2,12346,NA,NA,NA,False,False,False,False,40,54,0.36095791477723904,0.9927105748764949,0.36115881848384523,0.9965792134732484,0.21640630847544842,0.8824692725220348,0.1186652151107241,0.09399558366863342,0.025886391191066515,0.016245718685826794,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260701_102221/noise_seed_12346
