step,close_fidelity,open_fidelity,raw_fidelity,l1_penalty,l2_penalty,cost_function,gradient_norm
0,0.36115881848384523,0.42872903968408815,0.42872903968408815,0.1186652151107241,0.025886391191066515,0.28417743338229751,3.3257040654925114
1,0.73658653936962792,0.734955890413725,0.734955890413725,0.1162191216590332,0.025503419678837815,0.59323334907585401,8.4839187223962238
2,0.77698544463085883,0.76745584394935529,0.76745584394935529,0.11683713104373226,0.025591047391604786,0.62502766551401823,4.6309264636096632
3,0.83971274073579616,0.86105440789785481,0.86105440789785481,0.1167562535769647,0.025577308779658522,0.71872084554123161,2.33536670472279
4,0.8777413390602351,0.89250128126709805,0.89250128126709805,0.11665258543678653,0.025560456094140524,0.75028823973617098,2.2920128466623826
5,0.90941499493370292,0.9163717359391752,0.9163717359391752,0.11660059889542738,0.025550199197829401,0.77422093784591839,2.1277016277925189
6,0.91985788451530404,0.92698821679893395,0.92698821679893395,0.11634056356247434,0.025482879650049136,0.78516477358641046,2.539559569500343
