step,pair_index,weight,a0_real,a0_imag,a1_real,a1_imag,a2_real,a2_imag,closed_term,first_order_sq,second_order_cross,perturbative_open,dropped_order1_cross
0,0,0.0625,0.59768105487100809,-0.0090694309706794082,0.017534639826696827,-0.0075726309928689029,-0.00094028658853181446,-0.00053881681945659341,0.022331556120615815,2.2800520875383819e-05,-6.9638089770606719e-05,0.022284718551720591,0.0013186001853074502
0,1,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,2,0.0625,-0.050263881794642272,-0.040556436419821387,-0.011533840587633439,0.037566621698372854,0.0085021698990619624,-0.0041379690561265114,0.00026070514675879903,9.6517534033099911e-05,-3.2441347984054112e-05,0.00032478133280784487,-0.00011797908806031084
0,3,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,4,0.0625,-0.048869383205986598,-0.0063480678186897573,-0.0060066667973194716,0.059672942725375655,0.016019645774294464,-0.00076131399465684865,0.00015178216124776559,0.00022480875871999897,-9.7254666912345092e-05,0.00027933625305541948,-1.0658223231574099e-05
0,5,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,6,0.0625,0.59768105487100864,-0.0090694309706793527,0.018892054689241863,-0.0025088000310478902,-0.00065179990080036735,-0.00042952654090077014,0.022331556120615853,2.2700237998568207e-05,-4.8209111370301014e-05,0.02230604724724412,0.0014142720705059612
0,7,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,8,0.0625,-0.050263881794641252,-0.040556436419822407,-0.011071045802141577,0.037510135655935598,0.0079747020331951864,-0.0041641557708761122,0.00026070514675879784,9.5598645754987977e-05,-2.8994520197529313e-05,0.00032730927231625648,-0.00012060046178587026
0,9,0.0625,0,0,0,0,0,0,0,0,0,0,0
0,10,0.0625,-0.048869383205987244,-0.0063480678186896254,-0.0051105474122300418,0.058836852042523369,0.014822167652691325,-0.0010771289833166817,0.00015178216124776944,0.00021799330332040236,-8.9689062890898789e-05,0.00028008640167727307,-1.5468878390438651e-05
0,11,0.0625,0,0,0,0,0,0,0,0,0,0,0
