step,close_fidelity,open_fidelity,raw_fidelity,l1_penalty,l2_penalty,cost_function,gradient_norm
0,0.99899915714500076,0.99917931219997003,0.99917931219997003,0,5.1719416125851148e-05,0.99912759278384422,0.096856322676953752
1,0.99821838509121785,0.99952493015948574,0.99952493015948574,0,4.6309467292718788e-05,0.99947862069219306,0.11953073158964905
2,0.99802764806896227,0.99971533670984669,0.99971533670984669,0,4.2122917722572233e-05,0.99967321379212415,0.12132992064428869
3,0.99868751890176333,0.99978186383796996,0.99978186383796996,0,3.4480343626787596e-05,0.99974738349434322,0.11398835422305528
4,0.99864468147303898,0.99979587747851428,0.99979587747851428,0,3.2630623113124234e-05,0.99976324685540119,0.092769804007534651
