step,close_fidelity,open_fidelity,raw_fidelity,l1_penalty,l2_penalty,cost_function,gradient_norm
0,0.39662993684435666,0.4058053437434026,0.4058053437434026,0.16573263342630537,0.05452855516747767,0.18554415514961956,1.8010478411030828
1,0.58125777648917865,0.58627764163065321,0.58627764163065321,0.16183885490039274,0.052995877435709896,0.37144290929455059,1.7721049279656269
2,0.61772051980812726,0.62137715096552859,0.62137715096552859,0.16170732185357681,0.052941846445112087,0.40672798266683968,1.0465160739247068
3,0.61931213358839199,0.62277815712957618,0.62277815712957618,0.16172716272945936,0.052949573525197073,0.40810142087491974,0.89906883779008318
4,0.63438940607896632,0.63728519585390919,0.63728519585390919,0.161629696545497,0.052906125353261987,0.42274937395515022,0.85217203389453677
5,0.65308671361352477,0.65380129021791755,0.65380129021791755,0.16143056098826805,0.052815198687477714,0.43955553054217178,1.1294344505048934
6,0.67468537946275364,0.67223920258911374,0.67223920258911374,0.16128702774244877,0.052742120511310706,0.45821005433535428,1.303651336906414
7,0.72038239624981837,0.71260201390042921,0.71260201390042921,0.16089423365054387,0.052545777398064084,0.49916200285182127,1.5311731409733345
8,0.82527013235265045,0.81431387558964052,0.81431387558964052,0.16013659106106073,0.052156702368863384,0.60202058215971643,4.5056063874540628
9,0.85245662778874332,0.8383310798905067,0.8383310798905067,0.15996415341045453,0.052088158493570534,0.62627876798648163,2.9271798946384382
10,0.86036002364483499,0.84518515192159716,0.84518515192159716,0.15984638175890911,0.052033125995775115,0.63330564416691293,1.513405227744947
11,0.86630335260630953,0.85139434107387735,0.85139434107387735,0.15988856346867231,0.052053861605176409,0.6394519160000286,0.97420628941445364
12,0.87886847304228399,0.86446546626375709,0.86446546626375709,0.15989968575665842,0.052066927825435504,0.65249885268166319,1.1223569450288888
13,0.8935020389720375,0.8803750204040528,0.8803750204040528,0.15976739829171907,0.052021249120899851,0.66858637299143386,1.7214527861218352
14,0.89811417264943516,0.88647651075043954,0.88647651075043954,0.15972172486910699,0.052024053182981082,0.67473073269835149,1.3700228713206064
15,0.91470679334051108,0.90400376833101603,0.90400376833101603,0.15952629246510899,0.051935382622186235,0.69254209324372074,0.86938622977547764
16,0.92452907721965683,0.91564426203452176,0.91564426203452176,0.15932478882169224,0.051855375982818454,0.70446409723001113,1.4261315726552639
17,0.92951845506790054,0.92172279991716277,0.92172279991716277,0.15893718290449893,0.051696520788016675,0.71108909622464722,1.5019186890517393
18,0.94317808572758199,0.9350645934596018,0.9350645934596018,0.15883242042855103,0.051646404028690585,0.72458576900236016,0.84083935383193098
19,0.96218046172077876,0.95280221861991632,0.95280221861991632,0.15865210543446137,0.051557273544177683,0.74259283964127731,0.99387282401554189
20,0.97173627711719102,0.96191338618633515,0.96191338618633515,0.15843599509606549,0.051451383317219157,0.75202600777305051,0.50554900119785973
21,0.97414843251800209,0.96479704822087353,0.96479704822087353,0.15825770240035827,0.051364104487512358,0.75517524133300284,0.82594995106063318
22,0.97811726300569846,0.96925940939993005,0.96925940939993005,0.15818137075920738,0.051328169514984104,0.7597498691257385,0.70513665076059617
23,0.98028012325551417,0.97294869936019202,0.97294869936019202,0.15809284752305869,0.051286230256384319,0.76356962158074904,1.0239400291526084
24,0.98334759479876088,0.97594702152500268,0.97594702152500268,0.15779935250730404,0.05113033740866494,0.76701733160903374,0.81001441975126309
25,0.98794085340209459,0.98043999909877966,0.98043999909877966,0.15777613081703606,0.05111550324304813,0.77154836503869539,0.34071580600941315
26,0.98929058439268458,0.98247909668648115,0.98247909668648115,0.15763100485412535,0.051035182577849891,0.77381290925450585,0.47251967107285753
27,0.98994118807253573,0.98445422792785819,0.98445422792785819,0.15712713136950412,0.05075345172794344,0.77657364483041058,0.78879027860552076
28,0.99052701860546732,0.98579185807664849,0.98579185807664849,0.15662405269135984,0.050454633512138601,0.77871317187315003,0.64145059842475838
29,0.9912475293842552,0.98757026823841154,0.98757026823841154,0.15606393433799656,0.050136541800765877,0.78136979209964907,0.60912045974352147
30,0.98910182432889338,0.98640976896201671,0.98640976896201671,0.15450075674647223,0.049222784625767811,0.78268622758977668,0.7387014195781787
31,0.99519045327029665,0.99295186835745775,0.99295186835745775,0.15446827318535181,0.049217590478641604,0.78926600469346431,0.2794998192732025
32,0.99624168392941703,0.9940319494338592,0.9940319494338592,0.15418161323907559,0.049046498148766951,0.79080383804601673,0.20264374154598563
33,0.99684592481652512,0.99479822420657205,0.99479822420657205,0.15364518178988151,0.048724944165659534,0.792428098251031,0.21562804701642782
34,0.99712524393802249,0.99518614016220364,0.99518614016220364,0.15332023778976525,0.048535191633678573,0.79333071073875983,0.079989672923304916
35,0.99689165273986657,0.99489426848480966,0.99489426848480966,0.15209556045201239,0.047830039729215713,0.79496866830358159,0.19188277301929316
36,0.99662118930245736,0.99455209374075226,0.99455209374075226,0.1518354983715717,0.047681532575508119,0.79503506279367242,0.20004308989548969
37,0.9958904770178213,0.9938091712827124,0.9938091712827124,0.15132421983546873,0.0473917601565437,0.7950931912907,0.24496827688398287
38,0.9955610215585815,0.99344932970352429,0.99344932970352429,0.15094168031253022,0.047172030962533619,0.79533561842846046,0.2468032158705947
39,0.99407441804356556,0.99198173266571266,0.99198173266571266,0.14969616393604054,0.046460495507628423,0.79582507322204366,0.30475033783394928
40,0.99179660674238335,0.98994584961242793,0.98994584961242793,0.14708074855387027,0.04491942580040581,0.79794567525815185,0.63858287586355689
