mode,run_index,seed,source_npz,source_dt,experiment_dt,dt_missing,dt_mismatch,success,nit,nfev,initial_open_gate_fidelity,final_open_gate_fidelity,initial_close_gate_fidelity,final_close_gate_fidelity,initial_cost,final_cost,initial_l1_penalty,final_l1_penalty,initial_l2_penalty,final_l2_penalty,experiment_dir
noise,1,12345,NA,NA,NA,False,False,False,1,6,0.7175344965940337,2.918158810786899,0.42327561738703123,0.3985844623132555,0.7164958235944755,2.9170568988555714,0.0,0.0,0.0010386729995582051,0.0011019119313276692,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_173536/noise_seed_12345
random,2,12346,NA,NA,NA,False,False,False,1,2,0.8383147533410704,1.132083759124653,0.8405211805505852,0.7198727181290916,0.8350822694367952,1.1291971113079455,0.0,0.0,0.0032324839042752397,0.0028866478167076277,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_173536/random_seed_12346
